Name,Career Start,Career End,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings
JM Anderson,2002,2015,191.0,9584.0,7861.0,269.0,5/23,29.22,4.92,35.6,11.0,2.0
D Gough,1994,2006,155.0,8422.0,6154.0,234.0,5/44,26.29,4.38,35.9,10.0,2.0
SCJ Broad,2006,2016,121.0,6109.0,5364.0,178.0,5/23,30.13,5.26,34.3,9.0,1.0
A Flintoff,1999,2009,116.0,5496.0,3968.0,168.0,5/19,23.61,4.33,32.7,6.0,2.0
IT Botham,1976,1992,115.0,6271.0,4139.0,145.0,4/31,28.54,3.96,43.2,3.0,0.0
AU Rashid,2009,2018,74.0,3940.0,3620.0,119.0,5/27,30.42,5.51,33.1,7.0,1.0
PAJ DeFreitas,1987,1997,103.0,5712.0,3775.0,115.0,4/35,32.82,3.96,49.6,1.0,0.0
LE Plunkett,2005,2018,73.0,3501.0,3424.0,115.0,5/52,29.77,5.86,30.4,5.0,1.0
CR Woakes,2011,2018,77.0,3768.0,3463.0,113.0,6/45,30.64,5.51,33.3,8.0,2.0
PD Collingwood,2001,2011,151.0,5186.0,4294.0,111.0,6/31,38.68,4.96,46.7,3.0,1.0
TT Bresnan,2006,2015,84.0,4221.0,3813.0,109.0,5/48,34.98,5.42,38.7,3.0,1.0
GP Swann,2000,2013,76.0,3809.0,2888.0,104.0,5/28,27.76,4.54,36.6,3.0,1.0
ST Finn,2011,2017,67.0,3550.0,2996.0,102.0,5/33,29.37,5.06,34.8,4.0,2.0
RGD Willis,1973,1984,64.0,3595.0,1968.0,80.0,4/11,24.6,3.28,44.9,4.0,0.0
MM Ali,2014,2018,83.0,4102.0,3501.0,78.0,4/46,44.88,5.12,52.5,1.0,0.0
JE Emburey,1980,1993,61.0,3425.0,2346.0,76.0,4/37,30.86,4.1,45.0,2.0,0.0
