Name,Career Start,Career End,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Batting Avg,Balls Faced,Batting Strike Rate,Hundreds Scored,Scores Of Fifty Or More,Ducks Scored,Country
EJG Morgan,2009,2018,189,176.0,27.0,5813.0,124,39.01,6310.0,92.12,10.0,36.0,11.0,England
IR Bell,2004,2015,161,157.0,14.0,5416.0,141,37.87,7019.0,77.16,4.0,35.0,6.0,England
PD Collingwood,2001,2011,197,181.0,37.0,5092.0,120,35.36,6614.0,76.98,5.0,26.0,7.0,England
JE Root,2013,2018,121,115.0,19.0,4946.0,133,51.52,5722.0,86.43,13.0,29.0,4.0,England
AJ Stewart,1989,2003,170,162.0,14.0,4677.0,116,31.6,6841.0,68.36,4.0,28.0,13.0,England
KP Pietersen,2004,2013,134,123.0,16.0,4422.0,130,41.32,5100.0,86.7,9.0,25.0,7.0,England
ME Trescothick,2000,2006,123,122.0,6.0,4335.0,137,37.37,5087.0,85.21,12.0,21.0,13.0,England
GA Gooch,1976,1995,125,122.0,6.0,4290.0,142,36.98,6932.0,61.88,8.0,23.0,4.0,England
AJ Strauss,2003,2011,127,126.0,8.0,4205.0,158,35.63,5195.0,80.94,6.0,27.0,9.0,England
AJ Lamb,1982,1992,122,118.0,16.0,4010.0,118,39.31,5308.0,75.54,4.0,26.0,8.0,England
GA Hick,1991,2001,120,118.0,15.0,3846.0,126,37.33,5191.0,74.08,5.0,27.0,10.0,England
NV Knight,1996,2003,100,100.0,10.0,3637.0,125,40.41,5085.0,71.52,5.0,25.0,6.0,England
A Flintoff,1999,2009,138,119.0,16.0,3293.0,123,31.97,3694.0,89.14,3.0,18.0,9.0,England
AN Cook,2006,2014,92,92.0,4.0,3204.0,137,36.4,4154.0,77.13,5.0,19.0,7.0,England
JC Buttler,2012,2018,122,101.0,21.0,3176.0,129,39.7,2715.0,116.97,6.0,18.0,11.0,England
DI Gower,1978,1991,114,111.0,8.0,3170.0,158,30.77,4218.0,75.15,7.0,12.0,6.0,England
IJL Trott,2009,2013,68,65.0,10.0,2819.0,137,51.25,3658.0,77.06,4.0,22.0,5.0,England
RS Bopara,2007,2015,120,109.0,21.0,2695.0,101,30.62,3462.0,77.84,1.0,14.0,4.0,England
JJ Roy,2015,2018,70,69.0,2.0,2536.0,180,37.85,2433.0,104.23,6.0,12.0,7.0,England
RA Smith,1988,1996,71,70.0,8.0,2419.0,167,39.01,3473.0,69.65,4.0,15.0,4.0,England
GP Thorpe,1993,2002,82,77.0,13.0,2380.0,89,37.18,3344.0,71.17,0.0,21.0,3.0,England
N Hussain,1989,2003,88,87.0,10.0,2332.0,115,30.28,3481.0,66.99,1.0,16.0,6.0,England
AD Hales,2014,2018,67,65.0,3.0,2314.0,171,37.32,2419.0,95.65,6.0,13.0,5.0,England
IT Botham,1976,1992,116,106.0,15.0,2113.0,79,23.21,2671.0,79.1,0.0,9.0,6.0,England
MW Gatting,1977,1993,92,88.0,17.0,2095.0,115,29.5,2968.0,70.58,1.0,9.0,4.0,England
NH Fairbrother,1987,1999,75,71.0,18.0,2092.0,113,39.47,2903.0,72.06,1.0,16.0,2.0,England
JM Bairstow,2011,2018,54,50.0,8.0,2017.0,141,48.02,1929.0,104.56,6.0,7.0,2.0,England
MP Vaughan,2001,2007,86,83.0,10.0,1982.0,90,27.15,2898.0,68.39,0.0,16.0,9.0,England
BA Stokes,2011,2018,75,64.0,10.0,1963.0,102,36.35,2078.0,94.46,3.0,13.0,5.0,England
OA Shah,2001,2009,71,66.0,6.0,1834.0,107,30.56,2331.0,78.67,1.0,12.0,6.0,England
MA Atherton,1990,1998,54,54.0,3.0,1791.0,127,35.11,3054.0,58.64,2.0,12.0,4.0,England
MM Ali,2014,2018,87,71.0,10.0,1621.0,128,26.57,1549.0,104.64,3.0,5.0,3.0,England
BC Broad,1987,1988,34,34.0,0.0,1361.0,106,40.02,2447.0,55.61,1.0,11.0,2.0,England
MJ Prior,2004,2011,68,62.0,9.0,1282.0,87,24.18,1670.0,76.76,0.0,3.0,5.0,England
