Name,Career Start,Career End,Innings Bowled In,Balls Bowled,Runs Conceded,Wickets Taken,Best Bowling In An Innings,Bowling Avg,Economy Rate,Bowling Strike Rate,Four Wickets In An Innings,Five Wickets In An Innings
SCJ Broad,2006,2014,55.0,1171.0,1491.0,65.0,4/24,22.93,7.62,18.0,1.0,0.0
GP Swann,2008,2012,38.0,810.0,859.0,51.0,3/13,16.84,6.36,15.8,0.0,0.0
CJ Jordan,2014,2018,35.0,764.0,1120.0,40.0,4/28,28.0,8.77,19.1,1.0,0.0
JW Dernbach,2011,2014,33.0,702.0,1020.0,39.0,4/22,26.15,8.71,18.0,1.0,0.0
AU Rashid,2009,2018,31.0,654.0,818.0,31.0,3/11,26.38,7.5,21.0,0.0,0.0
DJ Willey,2015,2018,24.0,489.0,691.0,28.0,3/20,24.67,8.44,17.5,0.0,0.0
ST Finn,2011,2015,21.0,480.0,583.0,27.0,3/16,21.59,7.28,17.7,0.0,0.0
TT Bresnan,2006,2014,34.0,661.0,887.0,24.0,3/10,36.95,8.02,27.6,0.0,0.0
LE Plunkett,2006,2018,20.0,433.0,575.0,23.0,3/21,25.0,7.93,18.9,0.0,0.0
RJ Sidebottom,2007,2010,18.0,366.0,437.0,23.0,3/16,19.0,7.14,15.9,0.0,0.0
JM Anderson,2007,2009,19.0,421.0,552.0,18.0,3/23,30.66,7.84,23.4,0.0,0.0
LJ Wright,2007,2014,23.0,330.0,465.0,18.0,2/24,25.83,8.45,18.3,0.0,0.0
RS Bopara,2008,2014,21.0,320.0,387.0,16.0,4/10,24.18,7.21,20.1,1.0,0.0
PD Collingwood,2005,2011,19.0,222.0,329.0,16.0,4/22,20.56,8.89,13.8,1.0,0.0
MM Ali,2014,2018,22.0,361.0,519.0,15.0,2/21,34.6,8.6,24.1,0.0,0.0
AD Mascarenhas,2007,2009,14.0,252.0,309.0,12.0,3/18,25.75,7.35,21.0,0.0,0.0
MH Yardy,2006,2011,13.0,276.0,299.0,11.0,2/19,27.18,6.5,25.0,0.0,0.0
BA Stokes,2011,2018,18.0,332.0,496.0,10.0,3/26,49.6,8.91,33.4,0.0,0.0
MA Wood,2015,2018,4.0,85.0,139.0,8.0,3/26,17.37,9.58,10.8,0.0,0.0
TK Curran,2017,2018,7.0,150.0,235.0,7.0,3/33,33.57,9.4,21.4,0.0,0.0
SR Patel,2011,2013,15.0,252.0,321.0,7.0,2/6,45.85,7.64,36.0,0.0,0.0
JC Tredwell,2012,2014,15.0,315.0,416.0,7.0,1/16,59.42,7.87,45.2,0.0,0.0
CR Woakes,2011,2015,8.0,162.0,253.0,7.0,2/40,36.14,9.37,23.1,0.0,0.0
JE Root,2012,2018,9.0,84.0,139.0,6.0,2/9,23.16,9.92,14.0,0.0,0.0
DR Briggs,2012,2014,6.0,108.0,199.0,5.0,2/25,39.8,11.05,21.6,0.0,0.0
LA Dawson,2016,2018,6.0,120.0,152.0,5.0,3/27,30.4,7.6,24.0,0.0,0.0
JL Denly,2009,2018,2.0,30.0,28.0,5.0,4/19,5.6,5.6,6.0,1.0,0.0
A Flintoff,2005,2007,7.0,150.0,161.0,5.0,2/23,32.2,6.44,30.0,0.0,0.0
RJW Topley,2015,2016,6.0,102.0,173.0,5.0,3/24,34.6,10.07,20.6,0.0,0.0
J Lewis,2005,2007,2.0,42.0,55.0,4.0,4/24,13.75,7.85,10.5,1.0,0.0
CP Schofield,2007,2007,4.0,75.0,92.0,4.0,2/15,23.0,7.16,19.2,0.0,0.0
D Gough,2005,2006,2.0,39.0,49.0,3.0,3/16,16.33,7.17,13.6,0.0,0.0
HF Gurney,2014,2014,2.0,48.0,55.0,3.0,2/26,18.33,6.87,16.0,0.0,0.0
DL Maddy,2007,2007,2.0,18.0,26.0,3.0,2/6,8.66,8.66,6.0,0.0,0.0
SI Mahmood,2006,2009,4.0,84.0,155.0,3.0,1/31,51.66,11.07,28.0,0.0,0.0
TS Mills,2016,2017,4.0,96.0,116.0,3.0,1/27,38.66,7.25,32.0,0.0,0.0
SD Parry,2014,2015,5.0,96.0,138.0,3.0,2/33,46.0,8.62,32.0,0.0,0.0
A Shahzad,2010,2011,3.0,66.0,97.0,3.0,2/38,32.33,8.81,22.0,0.0,0.0
