Name,Career Start,Career End,Matches Played,Innings Batted,Not Outs,Runs Scored,Highest Innings Score,Batting Avg,Balls Faced,Batting Strike Rate,Hundreds Scored,Scores Of Fifty Or More,Ducks Scored,Boundary Fours,Boundary Sixes,Country
EJG Morgan,2009,2018,77,75.0,14.0,1734.0,85,28.42,1320.0,131.36,0.0,9.0,3.0,129.0,77.0,England
AD Hales,2011,2018,57,57.0,7.0,1605.0,116,32.1,1178.0,136.24,1.0,8.0,4.0,171.0,52.0,England
JC Buttler,2011,2018,66,58.0,11.0,1260.0,73,26.8,912.0,138.15,0.0,7.0,3.0,102.0,53.0,England
KP Pietersen,2005,2013,37,36.0,5.0,1176.0,79,37.93,831.0,141.51,0.0,7.0,1.0,119.0,32.0,England
JE Root,2012,2018,28,26.0,4.0,787.0,90,35.77,612.0,128.59,0.0,4.0,1.0,80.0,16.0,England
LJ Wright,2007,2014,51,45.0,5.0,759.0,99,18.97,554.0,137.0,0.0,4.0,9.0,68.0,31.0,England
JJ Roy,2014,2018,32,32.0,0.0,743.0,78,23.21,512.0,145.11,0.0,4.0,4.0,75.0,35.0,England
RS Bopara,2008,2014,38,35.0,10.0,711.0,65,28.44,599.0,118.69,0.0,3.0,0.0,54.0,17.0,England
PD Collingwood,2005,2011,35,33.0,2.0,583.0,79,18.8,459.0,127.01,0.0,3.0,3.0,37.0,24.0,England
MJ Lumb,2010,2014,27,27.0,1.0,552.0,63,21.23,413.0,133.65,0.0,3.0,1.0,64.0,21.0,England
C Kieswetter,2010,2012,25,25.0,1.0,526.0,63,21.91,470.0,111.91,0.0,3.0,2.0,47.0,23.0,England
JM Bairstow,2011,2018,27,22.0,6.0,396.0,60,24.75,315.0,125.71,0.0,2.0,1.0,33.0,15.0,England
OA Shah,2007,2009,17,15.0,1.0,347.0,55,24.78,284.0,122.18,0.0,1.0,0.0,26.0,13.0,England
DJ Malan,2017,2018,5,5.0,0.0,250.0,78,50.0,166.0,150.6,0.0,4.0,0.0,26.0,11.0,England
MM Ali,2014,2018,25,22.0,6.0,235.0,72,14.68,198.0,118.68,0.0,1.0,6.0,21.0,9.0,England
BA Stokes,2011,2018,23,20.0,5.0,232.0,38,15.46,178.0,130.33,0.0,0.0,1.0,20.0,9.0,England
TT Bresnan,2006,2014,34,22.0,9.0,216.0,47,16.61,170.0,127.05,0.0,0.0,3.0,16.0,6.0,England
SW Billings,2015,2018,17,15.0,0.0,205.0,53,13.66,152.0,134.86,0.0,1.0,1.0,18.0,8.0,England
JM Vince,2015,2018,7,7.0,0.0,194.0,46,27.71,165.0,117.57,0.0,0.0,0.0,20.0,5.0,England
SR Patel,2011,2013,18,14.0,2.0,189.0,67,15.75,173.0,109.24,0.0,1.0,2.0,17.0,5.0,England
IR Bell,2006,2014,8,8.0,1.0,188.0,60,26.85,163.0,115.33,0.0,1.0,0.0,23.0,2.0,England
CJ Jordan,2014,2018,35,23.0,10.0,168.0,27,12.92,144.0,116.66,0.0,0.0,2.0,12.0,7.0,England
ME Trescothick,2005,2006,3,3.0,0.0,166.0,72,55.33,131.0,126.71,0.0,2.0,0.0,23.0,1.0,England
DJ Willey,2015,2018,24,17.0,5.0,152.0,29,12.66,114.0,133.33,0.0,0.0,1.0,8.0,9.0,England
IJL Trott,2007,2010,7,7.0,1.0,138.0,51,23.0,144.0,95.83,0.0,1.0,0.0,9.0,3.0,England
MJ Prior,2007,2010,10,8.0,2.0,127.0,32,21.16,100.0,127.0,0.0,0.0,1.0,11.0,5.0,England
AD Mascarenhas,2007,2009,14,13.0,5.0,123.0,31,15.37,100.0,123.0,0.0,0.0,3.0,8.0,5.0,England
SCJ Broad,2006,2014,56,26.0,10.0,118.0,18,7.37,118.0,100.0,0.0,0.0,2.0,7.0,3.0,England
DL Maddy,2007,2007,4,4.0,0.0,113.0,50,28.25,80.0,141.25,0.0,1.0,0.0,12.0,3.0,England
GP Swann,2008,2012,39,16.0,11.0,104.0,34,20.8,89.0,116.85,0.0,0.0,2.0,9.0,1.0,England
SM Davies,2009,2011,5,5.0,0.0,102.0,33,20.4,82.0,124.39,0.0,0.0,0.0,12.0,0.0,England
MH Yardy,2006,2011,14,8.0,5.0,96.0,35,32.0,72.0,133.33,0.0,0.0,3.0,9.0,1.0,England
CR Woakes,2011,2015,8,7.0,4.0,91.0,37,30.33,63.0,144.44,0.0,0.0,1.0,4.0,5.0,England
A Flintoff,2005,2007,7,7.0,1.0,76.0,31,12.66,60.0,126.66,0.0,0.0,1.0,7.0,2.0,England
VS Solanki,2005,2007,3,3.0,0.0,76.0,43,25.33,61.0,124.59,0.0,0.0,0.0,10.0,1.0,England
AJ Strauss,2005,2009,4,4.0,0.0,73.0,33,18.25,64.0,114.06,0.0,0.0,1.0,9.0,0.0,England
AN Cook,2007,2009,4,4.0,0.0,61.0,26,15.25,54.0,112.96,0.0,0.0,0.0,10.0,0.0,England
JWM Dalrymple,2006,2007,3,3.0,0.0,60.0,32,20.0,57.0,105.26,0.0,0.0,0.0,6.0,0.0,England
P Mustard,2008,2008,2,2.0,0.0,60.0,40,30.0,37.0,162.16,0.0,0.0,0.0,5.0,4.0,England
AU Rashid,2009,2018,33,14.0,8.0,47.0,9,7.83,55.0,85.45,0.0,0.0,0.0,4.0,0.0,England
LE Plunkett,2006,2018,20,11.0,4.0,42.0,18,6.0,34.0,123.52,0.0,0.0,3.0,3.0,1.0,England
JL Denly,2009,2018,6,6.0,0.0,40.0,20,6.66,46.0,86.95,0.0,0.0,2.0,5.0,0.0,England
JS Foster,2009,2009,5,5.0,2.0,37.0,14,12.33,32.0,115.62,0.0,0.0,0.0,0.0,1.0,England
GO Jones,2005,2006,2,2.0,1.0,33.0,19,33.0,25.0,132.0,0.0,0.0,0.0,5.0,0.0,England
JC Tredwell,2012,2014,17,6.0,3.0,32.0,22,10.66,20.0,160.0,0.0,0.0,1.0,4.0,1.0,England
PA Nixon,2007,2007,1,1.0,1.0,31.0,31,,22.0,140.9,0.0,0.0,0.0,2.0,1.0,England
MP Vaughan,2005,2007,2,2.0,0.0,27.0,27,13.5,22.0,122.72,0.0,0.0,1.0,4.0,0.0,England
JW Dernbach,2011,2014,34,7.0,2.0,24.0,12,4.8,21.0,114.28,0.0,0.0,1.0,3.0,0.0,England
CP Schofield,2007,2007,4,4.0,3.0,24.0,9,24.0,20.0,120.0,0.0,0.0,0.0,2.0,0.0,England
LA Dawson,2016,2018,6,2.0,1.0,17.0,10,17.0,8.0,212.5,0.0,0.0,0.0,2.0,1.0,England
LS Livingstone,2017,2017,2,2.0,0.0,16.0,16,8.0,19.0,84.21,0.0,0.0,1.0,1.0,0.0,England
SG Borthwick,2011,2011,1,1.0,0.0,14.0,14,14.0,16.0,87.5,0.0,0.0,0.0,2.0,0.0,England
ST Finn,2011,2015,21,3.0,3.0,14.0,8,,19.0,73.68,0.0,0.0,0.0,1.0,0.0,England
CMW Read,2006,2006,1,1.0,0.0,13.0,13,13.0,11.0,118.18,0.0,0.0,0.0,2.0,0.0,England
RWT Key,2009,2009,1,1.0,1.0,10.0,10,,8.0,125.0,0.0,0.0,0.0,0.0,0.0,England
MA Wood,2015,2018,4,2.0,2.0,10.0,5,,12.0,83.33,0.0,0.0,0.0,1.0,0.0,England
TK Curran,2017,2018,7,3.0,2.0,8.0,6,8.0,6.0,133.33,0.0,0.0,0.0,0.0,1.0,England
MA Carberry,2014,2014,1,1.0,0.0,7.0,7,7.0,7.0,100.0,0.0,0.0,0.0,1.0,0.0,England
JN Snape,2007,2007,1,1.0,0.0,7.0,7,7.0,11.0,63.63,0.0,0.0,0.0,0.0,0.0,England
RJ Sidebottom,2007,2010,18,1.0,1.0,5.0,5,,4.0,125.0,0.0,0.0,0.0,1.0,0.0,England
GJ Batty,2009,2009,1,1.0,0.0,4.0,4,4.0,7.0,57.14,0.0,0.0,0.0,0.0,0.0,England
A Khan,2009,2009,1,1.0,0.0,2.0,2,2.0,4.0,50.0,0.0,0.0,0.0,0.0,0.0,England
RJ Kirtley,2007,2007,1,1.0,1.0,2.0,2,,4.0,50.0,0.0,0.0,0.0,0.0,0.0,England
JM Anderson,2007,2009,19,4.0,3.0,1.0,1,1.0,2.0,50.0,0.0,0.0,1.0,0.0,0.0,England
EC Joyce,2006,2007,2,1.0,0.0,1.0,1,1.0,3.0,33.33,0.0,0.0,0.0,0.0,0.0,England
