Name,Career Start,Career End,Innings Fielded,Fielding Dismissals Made,Catches Taken,Stumpings Made,Catches As A Keeper,Catches As A Fielder,Max Dismissals In An Innings,Dismissals Per Innings
EJG Morgan,2009,2018,77.0,34.0,34.0,0.0,0.0,34.0,3 (3ct 0st),0.441
AD Hales,2011,2018,56.0,31.0,31.0,0.0,0.0,31.0,2 (2ct 0st),0.5529999999999999
JC Buttler,2011,2018,65.0,27.0,23.0,4.0,21.0,2.0,3 (3ct 0st),0.415
JM Bairstow,2011,2018,27.0,23.0,23.0,0.0,3.0,20.0,2 (2ct 0st),0.851
SCJ Broad,2006,2014,56.0,21.0,21.0,0.0,0.0,21.0,3 (3ct 0st),0.375
C Kieswetter,2010,2012,25.0,20.0,17.0,3.0,17.0,0.0,3 (2ct 1st),0.8
CJ Jordan,2014,2018,35.0,16.0,16.0,0.0,0.0,16.0,2 (2ct 0st),0.457
JE Root,2012,2018,28.0,15.0,15.0,0.0,0.0,15.0,2 (2ct 0st),0.535
PD Collingwood,2005,2011,35.0,14.0,14.0,0.0,0.0,14.0,2 (2ct 0st),0.4
KP Pietersen,2005,2013,36.0,14.0,14.0,0.0,0.0,14.0,3 (3ct 0st),0.38799999999999996
LJ Wright,2007,2014,50.0,14.0,14.0,0.0,0.0,14.0,2 (2ct 0st),0.28
SW Billings,2015,2018,17.0,12.0,11.0,1.0,2.0,9.0,3 (2ct 1st),0.705
TT Bresnan,2006,2014,34.0,10.0,10.0,0.0,0.0,10.0,2 (2ct 0st),0.294
MJ Prior,2007,2010,10.0,9.0,6.0,3.0,6.0,0.0,4 (4ct 0st),0.9
AU Rashid,2009,2018,33.0,9.0,9.0,0.0,0.0,9.0,2 (2ct 0st),0.272
BA Stokes,2011,2018,22.0,9.0,9.0,0.0,0.0,9.0,3 (3ct 0st),0.409
DJ Willey,2015,2018,24.0,9.0,9.0,0.0,0.0,9.0,1 (1ct 0st),0.375
JW Dernbach,2011,2014,33.0,8.0,8.0,0.0,0.0,8.0,2 (2ct 0st),0.242
MJ Lumb,2010,2014,26.0,8.0,8.0,0.0,0.0,8.0,1 (1ct 0st),0.307
MH Yardy,2006,2011,14.0,8.0,8.0,0.0,0.0,8.0,2 (2ct 0st),0.5710000000000001
MM Ali,2014,2018,25.0,7.0,7.0,0.0,0.0,7.0,2 (2ct 0st),0.28
RS Bopara,2008,2014,37.0,7.0,7.0,0.0,0.0,7.0,2 (2ct 0st),0.18899999999999997
AD Mascarenhas,2007,2009,14.0,7.0,7.0,0.0,0.0,7.0,2 (2ct 0st),0.5
ST Finn,2011,2015,21.0,6.0,6.0,0.0,0.0,6.0,1 (1ct 0st),0.285
JS Foster,2009,2009,5.0,6.0,3.0,3.0,3.0,0.0,2 (1ct 1st),1.2
LE Plunkett,2006,2018,20.0,6.0,6.0,0.0,0.0,6.0,1 (1ct 0st),0.3
A Flintoff,2005,2007,7.0,5.0,5.0,0.0,0.0,5.0,2 (2ct 0st),0.7140000000000001
JJ Roy,2014,2018,32.0,5.0,5.0,0.0,0.0,5.0,1 (1ct 0st),0.156
